"gene","logFC","SE","statistic","P_value","FDR","mean_expression","AveExpr","t","P.Value","adj.P.Val","B"
"MX2",0.0114142534979425,0.426897009955528,0.0264408153949452,0.979156599309444,0.992422233475149,5.97726256522634,5.97726256522634,0.0264408153949452,0.979156599309444,0.992422233475149,-4.61952127681382
"CDK5R1",0.401300279246165,0.448419183470647,0.895590330377262,0.380671691912775,0.686708471877495,4.89164531256547,4.89164531256547,0.895590330377262,0.380671691912775,0.686708471877495,-4.60023200981915
"GPD1",0.36297297026749,0.59184117598399,0.646718652557886,0.52485397539517,0.768613876565682,5.09311853143004,5.09311853143004,0.646718652557886,0.52485397539517,0.768613876565682,-4.60929421990142
"ATF5",0.584042783230453,0.510202998024742,1.1772457770278,0.252331496769878,0.632810517374784,7.54460676003086,7.54460676003086,1.1772457770278,0.252331496769878,0.632810517374784,-4.58703329500321
"DDX3Y",0.668575165656566,0.80698150716497,0.905292916414117,0.3756293031678,0.683701094598773,6.12948123046203,6.12948123046203,0.905292916414117,0.3756293031678,0.683701094598773,-4.59982692305998
"AHDC1",-0.0103073350823041,0.625653123462097,-0.0175097909047237,0.986196015525187,0.995321010442111,5.73074966918724,5.73074966918724,-0.0175097909047237,0.986196015525187,0.995321010442111,-4.61953107868526
"DOCK4",-0.198440367901235,0.683543217488904,-0.311993534551165,0.758136884524593,0.89046713002094,7.04495824547325,7.04495824547325,-0.311993534551165,0.758136884524593,0.89046713002094,-4.61711890813124
"NKRF",0.322256371796003,0.347935077197357,0.860900113064019,0.398966052641487,0.697868372369879,5.75728829937537,5.75728829937537,0.860900113064019,0.398966052641487,0.697868372369879,-4.60165182548232
"NMT2",0.167315572300608,0.234471613882212,0.557603132690593,0.582980493804897,0.800212130257269,5.00681851316383,5.00681851316383,0.557603132690593,0.582980493804897,0.800212130257269,-4.61188779426659
"CIB2",0.235966247222223,0.489706545178474,0.491560252552596,0.628153400740827,0.825577993302583,5.31443613122428,5.31443613122428,0.491560252552596,0.628153400740827,0.825577993302583,-4.61357192056721
"TFF1",0.0800450169753084,0.358385975776895,0.209751107666195,0.83587602623845,0.928397399061113,3.57301464840535,3.57301464840535,0.209751107666195,0.83587602623845,0.928397399061113,-4.61844271485872
"GNL3L",-0.183923238142344,0.317440549198188,-0.520748795897888,0.607961172380351,0.814624642924122,5.87098905109344,5.87098905109344,-0.520748795897888,0.607961172380351,0.814624642924122,-4.6128536263377
"VWA5A",-0.719025296604938,0.471734042131633,-1.54280022341375,0.137886953392757,0.624223528415956,7.30763219542181,7.30763219542181,-1.54280022341375,0.137886953392757,0.624223528415956,-4.56604549832507
"HAGH",-0.166010389609052,0.502257333071234,-0.33889159920003,0.73807288705403,0.880887277939198,7.64921617031893,7.64921617031893,-0.33889159920003,0.73807288705403,0.880887277939198,-4.61668600080232
"ADORA2A",0.250445213249559,0.226453336241513,0.847938673021077,0.405983872246539,0.701580942685208,5.73827396498016,5.73827396498016,0.847938673021077,0.405983872246539,0.701580942685208,-4.60216917820912
"FGFBP1",0.310126331665197,0.420631468776881,0.726366263988388,0.475671812331091,0.743376575023353,3.6295590791189,3.6295590791189,0.726366263988388,0.475671812331091,0.743376575023353,-4.60667990652902
"TGFA",0.197475024764844,0.336745243948443,0.538828370427497,0.595642369573504,0.808351583135701,4.09990545521017,4.09990545521017,0.538828370427497,0.595642369573504,0.808351583135701,-4.61238763159138
"VIPR1",-0.382854289770722,0.636884319952688,-0.640426805837158,0.52885529545841,0.769957453893268,4.87530237726337,4.87530237726337,-0.640426805837158,0.52885529545841,0.769957453893268,-4.60948885670871
"ARL4A",-0.969808257746111,0.673130728324247,-1.54555940311679,0.137220533361437,0.624223528415956,6.74705096360931,6.74705096360931,-1.54555940311679,0.137220533361437,0.624223528415956,-4.56587321275128
"FOXN3",-1.03017117735156,0.460175223039695,-2.25361779705209,0.0350877538331084,0.624223528415956,6.91893697488977,6.91893697488977,-2.25361779705209,0.0350877538331084,0.624223528415956,-4.51702632309856
"RAD51",-0.289243083009994,0.391952315472987,-0.713000697911106,0.48370524695175,0.747352682863775,4.67010195920047,4.67010195920047,-0.713000697911106,0.48370524695175,0.747352682863775,-4.60713883375382
"ZBTB48",-0.303919956893003,0.431927979816398,-0.697856038235756,0.492959368601003,0.752713872402194,5.35498172515432,5.35498172515432,-0.697856038235756,0.492959368601003,0.752713872402194,-4.60764751577235
"STAT5B",-0.198097096428571,0.338697206892338,-0.538526231237072,0.595847231074558,0.808476031224419,6.40050324211493,6.40050324211493,-0.538526231237072,0.595847231074558,0.808476031224419,-4.61239554297849
"MAP3K8",-1.68436148312757,0.64481007296737,-2.78738128314798,0.0110694580019637,0.624223528415956,6.06048117561728,6.06048117561728,-2.78738128314798,0.0110694580019637,0.624223528415956,-4.47717672970238
"TRO",0.390148207003799,0.263631390563669,1.2273571279278,0.233199712804142,0.62844080823045,5.46347515040757,5.46347515040757,1.2273571279278,0.233199712804142,0.62844080823045,-4.58438579529127
"FABP7",0.681429067519107,0.590736556406321,1.21605235603392,0.237522792845726,0.62844080823045,3.7094121999853,3.7094121999853,1.21605235603392,0.237522792845726,0.62844080823045,-4.58499570452397
"EFNB3",1.09818703619529,0.478706549570782,2.32931315182103,0.029955726599945,0.624223528415956,4.00330018714927,4.00330018714927,2.32931315182103,0.029955726599945,0.624223528415956,-4.51143990012622
