"file","cell","group","major_cell_type","subcluster","macrophage_score","efferocytosis_score","noncontractile_vsmc_score"
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I09","asymptomatic","macrophage","macrophage_S1",1.39349588149363,0.737102731172791,-0.449560945114585
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I14","asymptomatic","macrophage","macrophage_S2",1.54671393289111,-0.0132443805113229,-0.281996532848447
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I16","asymptomatic","macrophage","macrophage_S2",1.38620266438445,0.423754379029259,-0.461288123219027
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I18","asymptomatic","macrophage","macrophage_S2",1.67155450600869,0.240826157222176,-0.451473755781505
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I20","asymptomatic","macrophage","macrophage_S1",1.72975830837283,1.37563038342704,-0.132267417679004
"GSM8121894_athero_human_1.txt.gz","Plate_733s_I24","asymptomatic","macrophage","macrophage_S3",0.752907859023051,0.575524289421018,0.0798695977916274
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J03","asymptomatic","macrophage","macrophage_S2",0.53468903771559,-0.346786850724217,-0.599598771585752
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J07","asymptomatic","macrophage","macrophage_S2",1.24680722348217,0.00333311819156034,-0.627445387862758
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J09","asymptomatic","macrophage","macrophage_S3",0.72792170848932,-0.0805191129096528,0.0102115226562119
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J11","asymptomatic","macrophage","macrophage_S2",0.742542686637712,0.430506740505758,-0.474986524737808
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J12","asymptomatic","macrophage","macrophage_S3",1.38981103983395,-0.0924075102362275,0.0583408165305851
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J13","asymptomatic","macrophage","macrophage_S3",1.1772752771805,0.322146239950644,-0.223627873887511
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J17","asymptomatic","macrophage","macrophage_S3",0.895487014158272,0.0752638990378028,-0.206831771705271
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J19","asymptomatic","macrophage","macrophage_S3",0.696223045935794,0.229813544414351,-0.0413383726344198
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J20","asymptomatic","macrophage","macrophage_S2",1.75120746439618,0.299776266810313,-0.395160375315992
"GSM8121894_athero_human_1.txt.gz","Plate_733s_J24","asymptomatic","macrophage","macrophage_S2",1.15670570906925,0.437906713658626,-0.348658375967391
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K03","asymptomatic","macrophage","macrophage_S1",1.49590362930815,0.803383523216061,-0.442368621600633
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K04","asymptomatic","macrophage","macrophage_S2",0.682776479148832,-0.343653745473078,-0.429809724880535
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K05","asymptomatic","macrophage","macrophage_S2",1.54348159170747,0.284469937157156,-0.535427162190779
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K06","asymptomatic","macrophage","macrophage_S3",0.678059520825557,0.559695962587934,-0.088295124153147
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K07","asymptomatic","macrophage","macrophage_S2",1.6538484298763,0.424162976214863,-0.51978129959687
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K08","asymptomatic","macrophage","macrophage_S3",0.700644283338521,-0.0896151804918407,-0.301351277016817
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K09","asymptomatic","macrophage","macrophage_S1",1.47510604905843,0.560832785899166,-0.475861598325222
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K10","asymptomatic","macrophage","macrophage_S2",1.29920091492106,-0.358578546815296,-0.616472900332285
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K11","asymptomatic","macrophage","macrophage_S2",0.725277051544797,0.162751122501637,-0.572625844936175
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K13","asymptomatic","macrophage","macrophage_S3",1.11117763666329,0.0789161403715712,0.123814563736841
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K14","asymptomatic","macrophage","macrophage_S1",1.27696104651765,0.688696803560894,-0.123021300668392
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K15","asymptomatic","macrophage","macrophage_S2",1.66835130311546,0.26640973951398,-0.318820891699327
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K17","asymptomatic","macrophage","macrophage_S2",1.35963403611016,0.0771060910065613,-0.471591716104142
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K18","asymptomatic","macrophage","macrophage_S3",1.15018280801362,0.29770989746138,0.228227047354065
"GSM8121894_athero_human_1.txt.gz","Plate_733s_K20","asymptomatic","macrophage","macrophage_S2",1.67620529755882,0.0796749395202588,-0.400966441002834
