"file","cell","group","major_cell_type","sc_cluster","PC1","PC2"
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C15","asymptomatic","vsmc","C7",15.0203826237156,-9.81118675678348
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C16","asymptomatic","vsmc","C2",18.4734659050768,-5.71068537822754
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C17","asymptomatic","fibroblast","C7",14.5524385148917,-4.83611566771623
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C18","asymptomatic","fibroblast","C10",14.4373429829224,-4.88271943681788
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C19","asymptomatic","fibroblast","C7",15.2255189466816,-6.79255884563914
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C20","asymptomatic","fibroblast","C7",11.3337324569059,-6.13070560330898
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C21","asymptomatic","fibroblast","C2",15.0879908786457,0.57983298571328
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C22","asymptomatic","fibroblast","C10",15.6127211293277,-2.51975421515148
"GSM8121894_athero_human_1.txt.gz","Plate_732s_C23","asymptomatic","fibroblast","C10",15.31004790838,2.34352918346608
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D01","asymptomatic","fibroblast","C7",11.7628889227193,-8.92103969617828
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D02","asymptomatic","vsmc","C2",18.0144436316877,-5.24821983722712
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D03","asymptomatic","fibroblast","C10",15.0606522299392,-1.0778912621678
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D04","asymptomatic","fibroblast","C7",11.0980989994878,-4.69459606304503
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D05","asymptomatic","vsmc","C2",18.6976976759119,-3.81227009866757
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D06","asymptomatic","fibroblast","C8",12.2335196890081,-1.00626140545456
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D07","asymptomatic","fibroblast","C10",16.2286378840649,2.39260835702789
"GSM8121894_athero_human_1.txt.gz","Plate_732s_D08","asymptomatic","fibroblast","C10",17.0680286690103,2.80360390046586
