"gene","selection","variance","detection_fraction"
"FCGBP","high_variance",0.577976023233278,0.356697009102731
"FKBP15","high_variance",0.577911643539954,0.700780234070221
"TKT","high_variance",0.577781045537384,0.80481144343303
"S100A16","high_variance",0.577706655478974,0.598829648894668
"MYO1D","high_variance",0.577667674028672,0.67555266579974
"ENSG00000267598","high_variance",0.577126262842598,0.745513654096229
"BHLHE40","high_variance",0.576541879368145,0.722626788036411
"ALDH2","high_variance",0.575608649907924,0.900260078023407
"TGOLN2","high_variance",0.575480479209184,0.944213263979194
"RAB11A","high_variance",0.574642163895683,0.866449934980494
"SEC31A","high_variance",0.574280464958843,0.93667100130039
"LAMB1","high_variance",0.574174097012368,0.563589076723017
"POLR2A","high_variance",0.573801228651192,0.869960988296489
"ITGA11","high_variance",0.573713391204083,0.594928478543563
"SYK","high_variance",0.573098520552132,0.503641092327698
"PPP1CA","high_variance",0.572463900543287,0.833810143042913
"ERCC-00092","high_variance",0.572415378542162,0.798309492847854
"C3","high_variance",0.572391212231126,0.603771131339402
"ATP6AP2","high_variance",0.57238722804937,0.939791937581274
"MACF1","high_variance",0.572192776423358,0.938491547464239
"WSB1","high_variance",0.571960190213253,0.919115734720416
"DBNDD2","high_variance",0.571738042098244,0.809492847854356
"TRIM22","high_variance",0.570609415861798,0.886866059817945
"C5AR1","high_variance",0.569955290044501,0.560468140442133
"CSDE1","high_variance",0.569720352014558,0.960208062418726
"FKBP1A","high_variance",0.568908564975834,0.93185955786736
"ERGIC3","high_variance",0.568555402722229,0.933810143042913
"MCL1","high_variance",0.568060975810027,0.886866059817945
"FUCA1","high_variance",0.566457578401703,0.673862158647594
"ENSG00000277957","high_variance",0.566335523482163,0.973992197659298
"SLC44A2","high_variance",0.565488732585456,0.723016905071521
"SARS1","high_variance",0.565085784990642,0.823667100130039
"ADAP2","high_variance",0.564525511632312,0.471781534460338
"LDHB","high_variance",0.564444670638308,0.867490247074122
"PGAM1","high_variance",0.56396346740826,0.929778933680104
"TACC1","high_variance",0.5638424453382,0.929778933680104
"DYNC1H1","high_variance",0.563792539605635,0.888036410923277
"HM13","high_variance",0.562824342953067,0.910663198959688
"MS4A4A","high_variance",0.562444161206552,0.472041612483745
"ETS2","high_variance",0.561983443055655,0.786345903771131
"MPP1","high_variance",0.561693874964431,0.602080624187256
"ATP1B3","high_variance",0.561585828167498,0.852015604681404
"COL5A2","high_variance",0.561463850526358,0.523927178153446
"RAB7A","high_variance",0.561382495483228,0.954096228868661
"LRRC32","high_variance",0.561334978114372,0.524967490247074
"LAPTM4A","high_variance",0.56124289576094,0.978803641092328
"OLFML2B","high_variance",0.561014694674109,0.693888166449935
"LRRFIP1","high_variance",0.560867172765081,0.960208062418726
"NCL","high_variance",0.558506538469461,0.96332899869961
"ATP6V1B2","high_variance",0.558495589605854,0.743042912873862
"GHITM","high_variance",0.558074457049491,0.89739921976593
"SNX17","high_variance",0.557952665204345,0.840442132639792
"PTPN6","high_variance",0.556566519093729,0.472301690507152
"LGALS9","high_variance",0.555777318870746,0.585955786736021
"TLN1","high_variance",0.555615034177449,0.965669700910273
"MVP","high_variance",0.555503118784833,0.834590377113134
"TUFM","high_variance",0.554815699400897,0.822756827048114
"GRB2","high_variance",0.55469768169871,0.789856957087126
"STAT1","high_variance",0.554165825471283,0.836540962288687
"TNF","high_variance",0.553861753494062,0.408192457737321
"AGT","high_variance",0.553636819485459,0.391287386215865
"CAV2","high_variance",0.552934736322455,0.718985695708713
"DDOST","high_variance",0.5527989814877,0.904681404421326
"ANXA7","high_variance",0.55265219355151,0.896098829648895
"CD34","high_variance",0.552611443870785,0.579713914174252
"PPP1R12B","high_variance",0.552213401173298,0.66072821846554
"TNFRSF1A","high_variance",0.551798335591135,0.893888166449935
"CNPY3","high_variance",0.551764996955034,0.758907672301691
"MACROH2A1","high_variance",0.551714349185021,0.733940182054616
"STAT3","high_variance",0.550995694402925,0.924837451235371
"GUCY1A1","high_variance",0.550782592578177,0.502340702210663
"CORO1B","high_variance",0.550330770752043,0.766189856957087
"BTG1","high_variance",0.550006019634688,0.869310793237971
"TALDO1","high_variance",0.549748767506385,0.878413524057217
"COLGALT1","high_variance",0.549501808279897,0.756697009102731
"TMEM43","high_variance",0.549420062092332,0.777633289986996
"CALR","high_variance",0.54906857739686,0.975812743823147
"ENSG00000269926","high_variance",0.54846076965923,0.584655396618986
"DCTN2","high_variance",0.548254879707431,0.862028608582575
"ANKRD10","high_variance",0.547860984614945,0.900780234070221
"SRSF7","high_variance",0.547279052111946,0.884785435630689
"SLC39A1","high_variance",0.547094333495087,0.796358907672302
"CTNND1","high_variance",0.546991196228228,0.872301690507152
