"gene","logFC","SE","statistic","P_value","FDR","mean_expression","logCPM","F","PValue"
"KLF3P1",0.100409226694977,,0.172415872734292,0.684810097804542,0.973608606083984,0.193940813145161,0.193940813145161,0.172415872734292,0.684810097804542
"KLF4",-0.325312917107597,,0.457952233396056,0.510524318077189,0.955676629167617,5.39422994102197,5.39422994102197,0.457952233396056,0.510524318077189
"KLF5",-0.121410086982556,,0.297456101182749,0.594780259376256,0.964665614204128,1.92243040501957,1.92243040501957,0.297456101182749,0.594780259376256
"KLF6",0.0389289237913386,,0.0226708773462,0.882642814964796,0.99164032465268,8.03278012506715,8.03278012506715,0.0226708773462,0.882642814964796
"KLF7",-0.160715938119251,,3.05486145619128,0.104216798556777,0.950898411535146,6.03696902721263,6.03696902721263,3.05486145619128,0.104216798556777
"KLF7-IT1",-0.150719616916036,,0.476159506629613,0.502385753714425,0.955057203860449,1.63094272134129,1.63094272134129,0.476159506629613,0.502385753714425
"KLF8",-0.101096519155567,,0.549457110033696,0.471806604031824,0.950898411535146,5.07195156028776,5.07195156028776,0.549457110033696,0.471806604031824
"KLF9",-0.49117429020957,,7.08833758601267,0.019638724332306,0.950898411535146,6.33572647220462,6.33572647220462,7.08833758601267,0.019638724332306
"KLHDC1",-0.294262424127682,,2.55413882710944,0.1341796126019,0.950898411535146,3.44566593699496,3.44566593699496,2.55413882710944,0.1341796126019
"KLHDC10",-0.0869422374870117,,0.638906349654669,0.438564309685496,0.950898411535146,5.66335181929422,5.66335181929422,0.638906349654669,0.438564309685496
"KLHDC2",-0.16632269629047,,1.91439357855653,0.189929454618332,0.950898411535146,5.27053171294989,5.27053171294989,1.91439357855653,0.189929454618332
"KLHDC3",-0.0811241167914373,,0.378707528918131,0.548989204242265,0.960022967276752,4.89755542232604,4.89755542232604,0.378707528918131,0.548989204242265
"KLHDC4",0.195440451614917,,1.28455507057152,0.277660143197675,0.950898411535146,3.92815524625567,3.92815524625567,1.28455507057152,0.277660143197675
"KLHDC7B",0.50926345715087,,1.14794134016137,0.303776248455211,0.950898411535146,-0.407303838624001,-0.407303838624001,1.14794134016137,0.303776248455211
"KLHDC8B",0.438721889594108,,2.56311482800445,0.133554596109206,0.950898411535146,3.9416302792166,3.9416302792166,2.56311482800445,0.133554596109206
