"file","major_cell_type","n_cells","total_cells","fraction_of_cells","title_stub","file_stub.x","gsm","subject_status","tissue","group","file_stub.y"
"GSM8121903_athero_human_10.txt.gz","b_cell",14,433,0.0323325635103926,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121903_athero_human_10.txt.gz","unassigned",44,433,0.10161662817552,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121903_athero_human_10.txt.gz","endothelial",11,433,0.0254041570438799,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121903_athero_human_10.txt.gz","vsmc",126,433,0.290993071593533,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121903_athero_human_10.txt.gz","fibroblast",80,433,0.184757505773672,"athero_human_10","GSM8121903_athero_human_10","GSM8121903","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121903_athero_human_10"
"GSM8121904_athero_human_11.txt.gz","fibroblast",165,615,0.268292682926829,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121904_athero_human_11.txt.gz","t_nk",8,615,0.0130081300813008,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121904_athero_human_11.txt.gz","macrophage",256,615,0.416260162601626,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121904_athero_human_11.txt.gz","unassigned",29,615,0.0471544715447154,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121904_athero_human_11.txt.gz","mast",30,615,0.0487804878048781,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121904_athero_human_11.txt.gz","vsmc",115,615,0.186991869918699,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121904_athero_human_11.txt.gz","b_cell",4,615,0.00650406504065041,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121904_athero_human_11.txt.gz","endothelial",8,615,0.0130081300813008,"athero_human_11","GSM8121904_athero_human_11","GSM8121904","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121904_athero_human_11"
"GSM8121905_athero_human_12.txt.gz","macrophage",216,564,0.382978723404255,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121905_athero_human_12.txt.gz","fibroblast",175,564,0.310283687943262,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121905_athero_human_12.txt.gz","t_nk",9,564,0.0159574468085106,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121905_athero_human_12.txt.gz","b_cell",13,564,0.0230496453900709,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121905_athero_human_12.txt.gz","unassigned",39,564,0.0691489361702128,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121905_athero_human_12.txt.gz","endothelial",6,564,0.0106382978723404,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
"GSM8121905_athero_human_12.txt.gz","mast",25,564,0.0443262411347518,"athero_human_12","GSM8121905_athero_human_12","GSM8121905","Symptomatic patient","Carotid Atherosclerotic Plaque","symptomatic","GSM8121905_athero_human_12"
